id,AssessTot,LotFront,NumFloors,ComArea,ResArea,OfficeArea,RetailArea,GarageArea,StrgeArea,FactryArea,OtherArea,YearBuilt,CommFAR,PopDensity,MedIncome,NumofHouses,EduRate,UnemployedRate,IfAlter,Central Harlem,Chelsea & Clinton,East Harlem,Gramercy Park and Murray Hill,GV & Soho,L Manhattan,L. East Side,U Eest Side,U West Side,WAHI,LandUse_1,LandUse_2,LandUse_3,LandUse_4,LandUse_5,LandUse_6,LandUse_7,LandUse_8,LandUse_9,LandUse_10,OwnerType_C,OwnerType_M,OwnerType_O,OwnerType_P,OwnerType_X,Zone,LandUse
69,35468100,214,4,114100,0,0,0,0,0,0,114100,1997,0,56092,145432,5247,0.988,0.047,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,L Manhattan,8
71,18171000,200,9,8400,230765,0,0,8400,0,0,0,1998,0,56092,145432,5247,0.988,0.047,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,L Manhattan,3
72,17366850,198,9,0,230765,0,0,0,0,0,0,1998,0,56092,145432,5247,0.988,0.047,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,L Manhattan,3
73,22563900,199,8,134082,0,0,0,0,0,0,134082,2008,0,56092,145432,5247,0.988,0.047,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,L Manhattan,8
74,155637000,257.17,5,153929,1727692,0,21188,48112,0,0,0,1983,0,56092,145432,5247,0.988,0.047,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,L Manhattan,4
76,202541400,489,43,2267925,0,1999448,117790,12266,56501,0,81920,1987,0,43135,250001,3011,0.948,0.015,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,L Manhattan,5
80,55828350,71,27,21847,334939,0,0,2652,0,0,19195,2002,0,53144,250001,2885,0.993,0.005,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,L Manhattan,3
81,41383800,196,24,2000,276141,2000,0,0,0,0,0,2004,0,53144,250001,2885,0.993,0.005,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,L Manhattan,3
82,47582100,196,24,0,356483,0,0,0,0,0,0,2004,0,53144,250001,2885,0.993,0.005,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,L Manhattan,3
83,52859250,141.75,27,0,484000,0,0,0,0,0,0,1998,0,53144,250001,2885,0.993,0.005,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,L Manhattan,3
84,48675600,196,14,0,239185,0,0,0,0,0,0,1998,0,53144,250001,2885,0.993,0.005,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,L Manhattan,3
85,43272000,100,42,1000,356000,0,1000,0,0,0,0,1998,0,53144,250001,2885,0.993,0.005,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,L Manhattan,3
86,65853900,371.69,10,450000,0,0,0,0,0,0,450000,1989,0,53144,250001,2885,0.993,0.005,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,L Manhattan,8
88,27320400,73.42,25,1000,243617,0,1000,0,0,0,0,1998,0,53144,250001,2885,0.993,0.005,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,L Manhattan,3
90,316388250,286.68,44,2152863,0,2152863,0,0,0,0,0,2006,0,53144,250001,2885,0.993,0.005,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,L Manhattan,5
91,28020167,133,25,1092,177488,0,1092,0,0,0,0,1985,0,56092,145432,5247,0.988,0.047,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,L Manhattan,4
92,18083695,287.38,15,11136,112148,0,0,10690,0,0,446,1986,0,56092,145432,5247,0.988,0.047,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,L Manhattan,3
93,14093106,121.83,17,1052,85711,0,1052,0,0,0,0,1985,0,56092,145432,5247,0.988,0.047,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,L Manhattan,4
94,11582106,133.58,9,4295,68618,0,4295,0,0,0,0,1986,0,56092,145432,5247,0.988,0.047,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,L Manhattan,4
95,35271447,160,26,1177,202660,1177,0,0,0,0,0,1987,0,56092,145432,5247,0.988,0.047,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,L Manhattan,4
96,13746603,174.28,9,502,81165,0,502,0,0,0,0,1985,0,56092,145432,5247,0.988,0.047,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,L Manhattan,4
97,17786257,171.38,9,3168,103103,0,3168,0,0,0,0,1986,0,56092,145432,5247,0.988,0.047,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,L Manhattan,4
98,68471375,166,44,4750,423839,1640,3110,0,0,0,0,1987,0,56092,145432,5247,0.988,0.047,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,L Manhattan,4
99,31733556,218,9,32279,162483,0,28464,0,3815,0,0,1988,0,56092,145432,5247,0.988,0.047,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,L Manhattan,4
100,40843811,199,28,7464,244465,6885,0,0,579,0,0,1988,0,56092,145432,5247,0.988,0.047,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,L Manhattan,4
102,100766250,259,14,215884,0,0,215884,0,0,0,0,1988,0,53144,250001,2885,0.993,0.005,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,L Manhattan,5
103,93778522,369,38,294617,229060,0,0,0,0,0,294617,2003,0,5516,119691,2082,0.99,0.061,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,L Manhattan,4
104,52036644,202.76,35,2856,342007,0,2856,0,0,0,0,2006,0,5516,119691,2082,0.99,0.061,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,L Manhattan,4
106,63855021,164,31,97236,409834,0,1453,66159,385,0,29239,2006,0,53144,250001,2885,0.993,0.005,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,L Manhattan,4
